sentiment,text,user
"neutral","Intro of registered reports to prevent publication bias and cherry picking in the reporting of clinical trial data. https://t.co/r005TsRGzA","DrPaulGiles"
"neutral","RT @MarkCBove: That GOES-16 imagery of #Harvey? Radar imagery? Recon flight data? Your tax dollars did all that. Investing in &amp; funding #sc…","Veej_1"
"positive","RT @derekhennen: I really, really encourage men to read this article. We need to combat gender bias, unconscious or not. https://t.co/MD8PG…","damienmulley"
"negative","What does Data Science mean to developing economy? https://t.co/7Ft143MlYV","redondoj"
"neutral","https://t.co/7Xe5c7fqRY","Ivarssonlab"
"positive","RT @kdnuggets: 5 Best #MachineLearning APIs for #DataScience #KDN https://t.co/7Zbfh1GtY4","Red_Shield_Sec"
"neutral","RT @AnonyMousey: A physics professor explains why male scientists devalue research that shows gender bias in the field. https://t.co/99M97Q…","wsscherk"
"neutral","Research showing women applying for biomedical science postdocs have to be 2.5 times more productive made me sad :( https://t.co/xl5VHKyUx5","frizzyroselle"
"neutral","Core #Data Science, #PhD University Grad at #Facebook (#LondonUnitedKingdom) #job https://t.co/r7EExzXmQb https://t.co/oHE0528e05","sentotadipati"
"positive","RT @derekhennen: I really, really encourage men to read this article. We need to combat gender bias, unconscious or not. https://t.co/MD8PG…","BaxterTwi"
"positive","@RSocPublishing Hi! Quick q, does Royal Society Open Science accept mathematical modeling studies (no original exper. data) if biomed focus?","emckiernan13"
"neutral","RT @logtrustInc: Benefits-of-having-a-career-in-data-science https://t.co/2oJ0fncSe1 https://t.co/hWnivgFhmP","juancarlosvigol"
"positive","RT @derekhennen: I really, really encourage men to read this article. We need to combat gender bias, unconscious or not. https://t.co/MD8PG…","fredkitutu"
"positive","RT @astronomolly: \"...women had to be 2.5 times more productive than the men in order to be rated equally scientifically competent...\" http…","Noufjar"
"neutral","RT @defsophiaray: Folks in academia, if you haven't read this yet, you need to: https://t.co/liD87McA10\n🙏@o_guest https://t.co/4PumKltpjD","pitybiscuits"
"negative","RT @TheAIConf: .@bigdata discusses the common challenges faced by companies interested in using #datascience &amp; #machinelearning https://t.c…","dotrandomcode"
"positive","RT @derekhennen: I really, really encourage men to read this article. We need to combat gender bias, unconscious or not. https://t.co/MD8PG…","margaretjordan"
"positive","RT @Ronald_vanLoon: Top 15 Python Libraries For Data Science In 2017 | #DataScience #Python #RT https://t.co/X1p4yo2tz5 https://t.co/y7FMKi…","Ronald_vanLoon"
"neutral","RT @sciencegoddess: Why Men Don’t Believe the Data on Gender Bias in Science https://t.co/MozdcU29il","okohonen"
"positive","The latest The Data Science Daily! https://t.co/bQEXyMVnfY #datascience","datagenius"
"positive","Top 20 Data Science MOOCs https://t.co/8QiExXTrmh","FTWilliams89"
"neutral","RT @DeepLearn007: What is Machine Learning?\n#AI #MachineLearning #BigData #ML #tech \nhttps://t.co/Aji7xqEshT https://t.co/Z4dw4H0DYS","wrq6555"
"positive","RT @Adobe: Today's CMO must be dual-brained, striking the right balance between data &amp; emotional connection to be successful: https://t.co/…","beachts"
"neutral","RT @WIRED: \"Scientists are not as objective as they think they are.\"  https://t.co/p8G3hW9XoZ","RickMeneely"
"neutral","Opinion: Prof explains why male scientists devalue research that shows gender bias in the field. https://t.co/J9ldPxXanf via @WIRED","TrylLans"
"neutral","RT @MarkCBove: That GOES-16 imagery of #Harvey? Radar imagery? Recon flight data? Your tax dollars did all that. Investing in &amp; funding #sc…","StormFrontWX"
"neutral","RT AcheronAnalytic: “Basic Statistics Every #DataScientist Should Know” #machinelearning #math #bigdata... https://t.co/Fh7xwXX4ar","fanishshukla"
"neutral","Using data #science to beat #cancer https://t.co/7XWdI5X6dF #biotech https://t.co/ZPFBVmB3hL","MIS_ing"
"neutral","RT @MarkCBove: That GOES-16 imagery of #Harvey? Radar imagery? Recon flight data? Your tax dollars did all that. Investing in &amp; funding #sc…","woolpapersugar"
"neutral","RT AcheronAnalytic: “Basic Statistics Every #DataScientist Should Know” #machinelearning #math #bigdata #analytics… https://t.co/9gFaMngabe","fanishshukla"
"neutral","Hi Chefs - Use Culinary Data Science to Optimize Your  Dining Business https://t.co/PVwxTpZ0n7","SidSom1"
"positive","RT @WITWomen: Women bring a unique perspective &amp; thrive in the #data field when given a #leadership role: https://t.co/Z6j2i3Zbbf @Forbes…","NancyFClark"
"neutral","RT @WIRED: \"Scientists are not as objective as they think they are.\"  https://t.co/p8G3hW9XoZ","stevensenior"
"neutral","RT @kellyamalone: https://t.co/0gBIHDqwRC","jcwalrath"
"neutral","RT @sciencegoddess: Why Men Don’t Believe the Data on Gender Bias in Science https://t.co/MozdcU29il","persist2succeed"
"positive","RT @derekhennen: I really, really encourage men to read this article. We need to combat gender bias, unconscious or not. https://t.co/MD8PG…","ejblomberg"
"neutral","A physics professor explains why male scientists devalue research that shows gender bias in the field. https://t.co/99M97QdBpP via @WIRED","AnonyMousey"
"neutral","RT @ChrisPolPsych: Motivated reasoning is a helluva drug, and even us scientists like to snort up a line or two --&gt; https://t.co/dKNbApd9li","prof_mirya"
"positive","RT @Ronald_vanLoon: The spectacular growth of Data Science, Machine Learning, Deep Learning, IoT, and AI | #MachineLearning #IoT #RT https:…","ArkangelScrap"
"neutral","RT @eric_kavanagh: The Future of Machine Learning and Data Science https://t.co/Aud21eDFYh\n#opensource\n-&gt; via https://t.co/AdrEy2mTNA","charlottebui"
"neutral","RT @MarkCBove: That GOES-16 imagery of #Harvey? Radar imagery? Recon flight data? Your tax dollars did all that. Investing in &amp; funding #sc…","mehoco"
"neutral","RT @IBJIYONGI: https://t.co/CRwpcmuikJ","jsb16"
"negative","RT @CompactBi: Breaking Down The Gender Gap In #DataScience https://t.co/K5j8MMA3pv","TodoenpcVE"
"negative","RT @sumnerd: On #WomensEqualityDay, let's recognize that gender discrimination is the reason there are too few women in #STEM https://t.co/…","Aaaengel"
"positive","RT @bmsnews: Interested in understanding the role of #RealWorldData in informing patient care in CV? Read more: https://t.co/q1f8f8IuyD #ES…","sunsource11"
"neutral","RT @WIRED: \"Scientists are not as objective as they think they are.\"  https://t.co/p8G3hW9XoZ","PlasmaNerd"
"neutral","RT @MarkCBove: That GOES-16 imagery of #Harvey? Radar imagery? Recon flight data? Your tax dollars did all that. Investing in &amp; funding #sc…","nathanSD8wx"
"neutral","RT @WIRED: \"Scientists are not as objective as they think they are.\"  https://t.co/p8G3hW9XoZ","KhanTigre"
"negative","RT @sm_udell: Meet the man using data science to predict who dies next on Game of Thrones https://t.co/bWazumzTYa #datascience #iot #machin…","LindseyOnIoT"
"positive","RT @KateKenski: \"...women had to be 2.5 times more productive than the men in order to be rated equally scientifically competent...\" https:…","Christine_Filer"
"neutral","RT @WIRED: \"Scientists are not as objective as they think they are.\"  https://t.co/p8G3hW9XoZ","ConstanzaDiazC"
"neutral","RT @MarkCBove: That GOES-16 imagery of #Harvey? Radar imagery? Recon flight data? Your tax dollars did all that. Investing in &amp; funding #sc…","MaineSteve"
"positive","RT @kdnuggets: 5 Best #MachineLearning APIs for #DataScience #KDN https://t.co/7Zbfh1GtY4","Subhash_Kumar"
"neutral","Implicit bias is still the biggest challenge to gender equality, especially in science. \nhttps://t.co/BbWv0RPi98","OrangePip86"
"neutral","RT @JessicaBrownLV: https://t.co/RqqiwPFTsv","kboyceq"
"neutral","RT @Emer_OToole: Why Men Don’t Believe the Data on Gender Bias in Science https://t.co/G0u9P3MZoy","mushacles"
"neutral","RT @CarrerasCientif: \"Nuestro estudio sugiere que los revisores no pueden juzgar el mérito científico independientemente del género\".\nhttps…","Combeferre_TG"
"neutral","RT @WIRED: \"Scientists are not as objective as they think they are.\"  https://t.co/p8G3hW9XoZ","Seed_SanDiego"
"neutral","Why Bother to Bootstrap Your AI Startup? – Towards Data Science – Medium https://t.co/HTDkqaOYP2 https://t.co/JA2Pl7qpyr","joshjbarnett20"
"neutral","RT @MarkCBove: That GOES-16 imagery of #Harvey? Radar imagery? Recon flight data? Your tax dollars did all that. Investing in &amp; funding #sc…","CAyers_59"
"neutral","RT @WIRED: \"Scientists are not as objective as they think they are.\"  https://t.co/p8G3hW9XoZ","diadalab"
"positive","RT @derekhennen: I really, really encourage men to read this article. We need to combat gender bias, unconscious or not. https://t.co/MD8PG…","NeedhiBhalla"
"neutral","RT @MarkCBove: That GOES-16 imagery of #Harvey? Radar imagery? Recon flight data? Your tax dollars did all that. Investing in &amp; funding #sc…","SalsaExaminer"
"positive","RT @MsEmilyLiner: Just gonna leave this right here: https://t.co/4Me8TMM1tm","solcito_1977"
"positive","RT @derekhennen: I really, really encourage men to read this article. We need to combat gender bias, unconscious or not. https://t.co/MD8PG…","MelanieCarmody"
"positive","RT @derekhennen: I really, really encourage men to read this article. We need to combat gender bias, unconscious or not. https://t.co/MD8PG…","JKamens"
"neutral","RT @CarrerasCientif: \"Nuestro estudio sugiere que los revisores no pueden juzgar el mérito científico independientemente del género\".\nhttps…","TodasGamers"
"neutral","RT @MarkCBove: That GOES-16 imagery of #Harvey? Radar imagery? Recon flight data? Your tax dollars did all that. Investing in &amp; funding #sc…","B_Carp01"
"neutral","RT @AcheronAnalytic: “Basic Statistics Every #DataScientist Should Know” #machinelearning #math #bigdata #analytics #ai #dl #ml https://t.c…","AcheronAnalytic"
"neutral","RT @pepetapia44: Giovanni: The Bridge Between Data and Science \nMathematical Geophysics \nhttps://t.co/LmtCSILC2z","tonikant"
"positive","Looking to start a #datascience project? #machinelearning #makeyourownlane #funny #python #java #sql… https://t.co/IQwxbdHphX","AcheronAnalytic"
"neutral","RT @MarkCBove: That GOES-16 imagery of #Harvey? Radar imagery? Recon flight data? Your tax dollars did all that. Investing in &amp; funding #sc…","LaDiavolina"
"neutral","RT @AcheronAnalytic: “Basic Statistics Every #DataScientist Should Know” #machinelearning #math #bigdata #analytics #ai #dl #ml https://t.c…","binaryloom"
"neutral","RT @whereisdaz: To someone ignorant of their privilege, any threat to that privilege would be perceived as discrimination.\nhttps://t.co/jm4…","NeedhiBhalla"
"positive","RT @derekhennen: I really, really encourage men to read this article. We need to combat gender bias, unconscious or not. https://t.co/MD8PG…","niksroach"
"neutral","RT @defsophiaray: Folks in academia, if you haven't read this yet, you need to: https://t.co/liD87McA10\n🙏@o_guest https://t.co/4PumKltpjD","hrabiaKent"
"neutral","RT @AcheronAnalytic: “Basic Statistics Every #DataScientist Should Know” #machinelearning #math #bigdata #analytics #ai #dl #ml https://t.c…","alevergara78"
"neutral","RT @defsophiaray: Folks in academia, if you haven't read this yet, you need to: https://t.co/liD87McA10\n🙏@o_guest https://t.co/4PumKltpjD","gracex10"
"neutral","The Case for Sharing All of America's Mosquito Data - The Atlantic https://t.co/ZFXbgYpuA8","CathyFarrow1"
"neutral","RT @whereisdaz: To someone ignorant of their privilege, any threat to that privilege would be perceived as discrimination.\nhttps://t.co/jm4…","JKamens"
"neutral","Python for Data Science class going on now. Attend practice session after this. https://t.co/47tlGOJKLT","HealthInnoBos"
"neutral","“Basic Statistics Every #DataScientist Should Know” #machinelearning #math #bigdata #analytics #ai #dl #ml https://t.co/7zI5Ebo4Hz","AcheronAnalytic"
"positive","RT @derekhennen: I really, really encourage men to read this article. We need to combat gender bias, unconscious or not. https://t.co/MD8PG…","SimpleSignifier"
"neutral","RT @surajkumar2013: Smarter Cities: Using Data to Drive Urban Innovation by @@reichental  https://t.co/YAScs1CJJo via @lynda","Reichental"
"neutral","RT @Ronald_vanLoon: Data Science Workflow: Overview and Challenges | #DataScience #Business #RT https://t.co/Qa3II3Cdnm https://t.co/fhq2g6…","BillNigh"
"neutral","RT @CarrerasCientif: \"Nuestro estudio sugiere que los revisores no pueden juzgar el mérito científico independientemente del género\".\nhttps…","AlbaMCheshire"
"neutral","RT @WIRED: \"Scientists are not as objective as they think they are.\"  https://t.co/p8G3hW9XoZ","LiveInHoth"
"positive","RT @kdnuggets: 5 Best #MachineLearning APIs for #DataScience #KDN https://t.co/7Zbfh1GtY4","somrhiju"
"negative","Meet the man using data science to predict who dies next on Game of Thrones https://t.co/bWazumzTYa #datascience #iot #machinelearning #ai","sm_udell"
"neutral","RT @astronomolly: Spot-on op-ed from @ucsd astrophysics Prof. Allison Coil: \"Why men don't believe the data on gender bias in science\" http…","stargazer_412"
"neutral","RT @CarrerasCientif: \"Nuestro estudio sugiere que los revisores no pueden juzgar el mérito científico independientemente del género\".\nhttps…","PotiPotiInLove"
"neutral","Director, Data Science Integration: #Comcast, USA (Pennsylvania). https://t.co/itLOD1AqYb #MBA #jobs #USA","MBA_Jobs_USA_2"
"negative","RT @sumnerd: On #WomensEqualityDay, let's recognize that gender discrimination is the reason there are too few women in #STEM https://t.co/…","trinity_lh"
"neutral","RT @CarrerasCientif: \"Nuestro estudio sugiere que los revisores no pueden juzgar el mérito científico independientemente del género\".\nhttps…","Ehproque"
"positive","“How to begin your own data science journey!” on #Medium #DataScience\nhttps://t.co/TDw0VPgk97","paragk_10"
"neutral","RT @foodskop: Why #Men Don’t Believe the Data on Gender Bias in #Science       #lookingforallies  https://t.co/n0OPCeRsFN","annotatinglife"
"neutral","RT @astronomolly: Spot-on op-ed from @ucsd astrophysics Prof. Allison Coil: \"Why men don't believe the data on gender bias in science\" http…","rareflwr41"
"positive","RT @1H4ND: Men favour falsified research that supports their  belief in a just world / male superiority over facts.\nNo shit.\n\nhttps://t.co/…","WitchBrain"
"neutral","RT @defsophiaray: Folks in academia, if you haven't read this yet, you need to: https://t.co/liD87McA10\n🙏@o_guest https://t.co/4PumKltpjD","o_guest"
"neutral","RT @gmicksmith: “How Do Machine Learning Algorithms Learn Bias?” by @SeattleDataGuy https://t.co/7V7pRdQIET","_PrinceLemuel"